Date, Open, High, Low, Close
12/08/21, 74.16, 74.30, 73.52, 73.57
12/07/21, 74.19, 74.53, 73.85, 74.16
12/06/21, 73.97, 74.45, 73.52, 74.24
12/03/21, 73.65, 73.98, 73.32, 73.97
12/02/21, 74.04, 74.37, 73.53, 73.65
12/01/21, 74.14, 74.38, 73.72, 74.04
11/30/21, 74.49, 75.12, 73.97, 73.99
11/29/21, 75.56, 75.59, 74.24, 74.48
11/26/21, 74.63, 75.92, 74.55, 75.56
11/25/21, 74.98, 74.99, 74.49, 74.68
11/24/21, 74.31, 75.04, 74.11, 74.98
11/23/21, 74.97, 75.26, 74.06, 74.31
11/22/21, 73.52, 75.08, 73.05, 74.97
11/19/21, 73.10, 73.68, 72.70, 73.52
11/18/21, 72.60, 73.37, 72.48, 73.10
11/17/21, 73.06, 73.30, 72.33, 72.61
11/16/21, 72.36, 73.50, 72.32, 73.07
11/15/21, 72.90, 72.90, 72.01, 72.51
11/12/21, 71.58, 73.22, 71.52, 72.90
11/11/21, 71.25, 71.79, 70.97, 71.61
11/10/21, 70.80, 71.35, 70.52, 71.27
11/09/21, 71.30, 71.35, 70.66, 70.80
11/08/21, 71.15, 71.52, 70.90, 71.30
11/05/21, 71.38, 71.97, 71.03, 71.15
11/04/21, 71.87, 71.91, 71.18, 71.18
11/03/21, 71.56, 72.25, 71.34, 71.90
11/02/21, 71.56, 72.00, 71.38, 71.54
11/01/21, 70.94, 71.67, 70.74, 71.56
10/29/21, 70.26, 71.01, 70.16, 70.94
10/28/21, 70.70, 70.77, 70.06, 70.27
10/27/21, 69.52, 70.70, 69.34, 70.65
10/26/21, 69.89, 69.91, 69.23, 69.52
10/25/21, 70.08, 70.50, 69.70, 69.88
10/22/21, 71.17, 71.21, 69.91, 70.30
10/21/21, 70.80, 71.30, 70.65, 71.16
10/20/21, 70.91, 71.13, 70.78, 70.86
10/19/21, 71.33, 71.33, 70.81, 70.90
10/18/21, 71.12, 71.38, 70.97, 71.32
10/15/21, 71.43, 71.47, 70.90, 70.99
10/14/21, 72.05, 72.11, 71.33, 71.40
10/13/21, 71.86, 72.13, 71.73, 72.08
10/12/21, 71.69, 71.99, 71.69, 71.87
10/11/21, 71.80, 71.93, 71.56, 71.78
10/08/21, 71.80, 72.05, 71.65, 71.81
10/07/21, 72.42, 72.54, 71.70, 71.80
10/06/21, 72.32, 72.72, 72.28, 72.45
10/05/21, 72.45, 72.68, 72.27, 72.32
10/04/21, 72.67, 73.00, 72.41, 72.47
10/01/21, 72.73, 73.24, 72.65, 72.67
09/30/21, 72.88, 72.99, 72.59, 72.75
09/29/21, 72.78, 72.97, 72.62, 72.88
09/28/21, 72.70, 73.03, 72.40, 72.78
09/27/21, 73.00, 73.00, 72.44, 72.71
09/24/21, 72.81, 73.08, 72.51, 72.51
09/23/21, 73.03, 73.04, 72.57, 72.81
09/22/21, 73.16, 73.16, 72.61, 73.04
09/21/21, 73.22, 73.56, 72.96, 73.10
09/20/21, 72.88, 73.62, 72.79, 73.47
09/17/21, 72.50, 72.95, 72.34, 72.88
09/16/21, 72.28, 72.63, 72.23, 72.50
09/15/21, 73.07, 73.34, 72.24, 72.27
09/14/21, 72.68, 73.08, 72.55, 73.07
09/13/21, 73.17, 73.22, 72.59, 72.67
09/10/21, 72.92, 73.22, 72.69, 73.19
09/09/21, 73.30, 73.34, 72.83, 72.92
09/08/21, 73.36, 73.57, 73.15, 73.32
09/07/21, 73.02, 73.38, 72.92, 73.36
09/06/21, 72.82, 73.07, 72.75, 73.07
09/03/21, 72.96, 73.12, 72.56, 72.83
09/02/21, 73.04, 73.06, 72.69, 72.90
09/01/21, 73.44, 73.53, 72.80, 73.06
08/31/21, 73.52, 73.56, 73.20, 73.44
08/30/21, 73.10, 73.69, 73.10, 73.52
08/27/21, 74.28, 74.33, 73.25, 73.25
08/26/21, 73.92, 74.48, 73.73, 74.28
08/25/21, 73.84, 74.09, 73.67, 73.92
08/24/21, 74.14, 74.18, 73.72, 73.77
08/23/21, 74.05, 74.26, 73.90, 74.02
08/20/21, 74.26, 74.59, 73.99, 74.28
08/19/21, 73.80, 74.35, 73.77, 74.26
08/18/21, 73.59, 73.88, 73.36, 73.79
08/17/21, 73.32, 73.67, 73.30, 73.59
08/16/21, 73.31, 73.50, 73.18, 73.34
08/13/21, 73.61, 73.65, 73.16, 73.31
08/12/21, 73.48, 73.68, 73.35, 73.61
08/11/21, 73.97, 74.16, 73.35, 73.48
08/10/21, 73.64, 74.05, 73.52, 73.97
08/09/21, 73.06, 73.70, 73.06, 73.68
08/06/21, 73.12, 73.66, 73.00, 73.06
08/05/21, 73.20, 73.38, 72.99, 73.12
08/04/21, 73.08, 73.29, 72.71, 73.19
08/03/21, 73.00, 73.20, 72.78, 73.01
08/02/21, 73.15, 73.35, 72.69, 73.04
07/30/21, 73.22, 73.43, 72.80, 73.15
07/29/21, 73.57, 73.57, 73.02, 73.22
07/28/21, 73.78, 73.85, 73.39, 73.57
07/27/21, 73.74, 73.94, 73.59, 73.78
07/26/21, 73.93, 74.27, 73.62, 73.72
07/23/21, 73.65, 73.93, 73.52, 73.87
07/22/21, 74.00, 74.03, 73.60, 73.65
07/21/21, 74.42, 74.57, 73.91, 73.96
07/20/21, 74.77, 74.77, 74.29, 74.43
07/19/21, 74.08, 74.78, 74.08, 74.77
07/16/21, 74.39, 74.45, 73.96, 74.08
07/15/21, 74.12, 74.45, 74.04, 74.40
07/14/21, 74.35, 74.53, 73.95, 74.13
07/13/21, 74.43, 74.46, 73.89, 74.35
07/12/21, 74.42, 74.80, 74.24, 74.45
07/09/21, 74.75, 74.82, 74.17, 74.42
07/08/21, 74.65, 75.35, 74.57, 74.75
07/07/21, 74.54, 74.91, 73.94, 74.72
07/06/21, 73.47, 74.80, 73.16, 74.55
07/05/21, 73.15, 73.60, 73.15, 73.50
07/02/21, 73.44, 73.80, 73.14, 73.20
07/01/21, 73.15, 73.53, 72.81, 73.44
06/30/21, 72.79, 73.23, 72.65, 73.16
06/29/21, 72.24, 72.87, 72.17, 72.80
06/28/21, 72.21, 72.35, 72.09, 72.27
06/25/21, 72.28, 72.46, 72.04, 72.21
06/24/21, 72.63, 72.71, 72.13, 72.29
06/23/21, 72.89, 73.16, 72.34, 72.63
